"CLOUD_COVER";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"index";"SATELLITE";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"WRS_PATH";"WRS_ROW";"year";"Date";"index_type"
0;3,735;2,206;3,014;0,622770000318115;"LANDSAT_7";57,800159;37,743053;223;66;2002;2002-08-22;"NDVI TEI 567027-C"
2;4,048;2,462;3,213;0,63371789617394;"LANDSAT_7";52,773136;40,482407;223;66;2003;2003-08-09;"NDVI TEI 567027-C"
11;4,387;2,783;3,391;0,582969127191649;"LANDSAT_7";77,155472;29,872669;223;66;2003;2003-09-26;"NDVI TEI 567027-C"
7;5,754;4,186;3,948;0,735325543108008;"LANDSAT_7";112,157715;27,995636;223;66;2003;2003-11-13;"NDVI TEI 567027-C"
11;5,001;3,85;3,192;0,808075939497783;"LANDSAT_7";120,621719;32,048462;223;66;2003;2003-12-15;"NDVI TEI 567027-C"
5;4,533;3,259;3,15;0,823213897741365;"LANDSAT_7";119,155136;33,655468;223;66;2003;2003-12-31;"NDVI TEI 567027-C"
14;6,42;3,347;5,478;0,715377247923319;"LANDSAT_7";56,104401;36,845829;223;66;2004;2004-04-21;"NDVI TEI 567027-C"
0;4,435;3,075;3,196;0,776333260684138;"LANDSAT_7";44,876354;41,755459;223;66;2004;2004-05-23;"NDVI TEI 567027-C"
3;4,58;2,957;3,497;0,741153338674112;"LANDSAT_7";43,031292;43,638634;223;66;2004;2004-06-08;"NDVI TEI 567027-C"
0;4,281;2,575;3,42;0,734188241281189;"LANDSAT_7";43,289047;44,554089;223;66;2004;2004-06-24;"NDVI TEI 567027-C"
0;3,281;2,049;2,563;0,699520152103625;"LANDSAT_7";48,756824;42,621395;223;66;2004;2004-07-26;"NDVI TEI 567027-C"
6;3,794;2,389;2,948;0,633622902994996;"LANDSAT_7";53,63591;39,863449;223;66;2004;2004-08-11;"NDVI TEI 567027-C"
11;4,49;2,947;3,387;0,682639916628286;"LANDSAT_7";79,104042;29,295471;223;66;2004;2004-09-28;"NDVI TEI 567027-C"
0;6,07;3,055;5,245;0,803870502453075;"LANDSAT_7";63,65451;35,084873;223;66;2005;2005-04-08;"NDVI TEI 567027-C"
0;4,662;3,127;3,458;0,765074457718673;"LANDSAT_7";42,841171;43,80793;223;66;2005;2005-06-11;"NDVI TEI 567027-C"
1;4,931;2,57;4,208;0,727380254384607;"LANDSAT_7";45,683586;43,966385;223;66;2005;2005-07-13;"NDVI TEI 567027-C"
0;4,353;2,379;3,646;0,704304559344439;"LANDSAT_7";49,396782;42,133659;223;66;2005;2005-07-29;"NDVI TEI 567027-C"
1;4,446;2,79;3,461;0,65516085502449;"LANDSAT_7";54,536556;39,205238;223;66;2005;2005-08-14;"NDVI TEI 567027-C"
8;4,664;2,56;3,899;0,493271817244297;"LANDSAT_7";61,287743;35,56823;223;66;2005;2005-08-30;"NDVI TEI 567027-C"
6;5,801;3,009;4,96;0,169543077770819;"LANDSAT_7";70,062561;31,824837;223;66;2005;2005-09-15;"NDVI TEI 567027-C"
0;3,933;2,572;2,975;0,602774911724868;"LANDSAT_7";81,119934;28,729321;223;66;2005;2005-10-01;"NDVI TEI 567027-C"
14;4,883;3,01;3,845;0,739692555809346;"LANDSAT_7";112,674828;34,364662;223;66;2006;2006-01-21;"NDVI TEI 567027-C"
0;3,833;2,606;2,811;0,775309844217535;"LANDSAT_7";42,732479;43,961449;223;66;2006;2006-06-14;"NDVI TEI 567027-C"
0;4,754;2,918;3,753;0,752653778894043;"LANDSAT_7";43,633034;44,464432;223;66;2006;2006-06-30;"NDVI TEI 567027-C"
1;4,348;2,899;3,24;0,725452625167226;"LANDSAT_7";46,154934;43,684441;223;66;2006;2006-07-16;"NDVI TEI 567027-C"
3;3,8;2,448;2,907;0,681101549774735;"LANDSAT_7";50,125526;41,644253;223;66;2006;2006-08-01;"NDVI TEI 567027-C"
1;3,974;2,65;2,961;0,666473015021428;"LANDSAT_7";55,436764;38,493687;223;66;2006;2006-08-17;"NDVI TEI 567027-C"
3;4,417;2,848;3,376;0,60628277160381;"LANDSAT_7";62,603016;34,85186;223;66;2006;2006-09-02;"NDVI TEI 567027-C"
0;4,263;2,829;3,189;0,602746958317271;"LANDSAT_7";71,769699;31,155685;223;66;2006;2006-09-18;"NDVI TEI 567027-C"
10;5,441;4,417;3,178;0,75245223226679;"LANDSAT_7";111,52919;34,305695;223;66;2007;2007-01-24;"NDVI TEI 567027-C"
3;5,94;2,791;5,244;0,825171954338638;"LANDSAT_7";93,376465;33,544056;223;66;2007;2007-02-25;"NDVI TEI 567027-C"
1;4,325;2,578;3,473;0,785056294779939;"LANDSAT_7";46,356693;40,43589;223;66;2007;2007-05-16;"NDVI TEI 567027-C"
3;4,178;2,895;3,013;0,766812225138278;"LANDSAT_7";43,384384;42,660889;223;66;2007;2007-06-01;"NDVI TEI 567027-C"
0;4,479;2,891;3,421;0,764799795834958;"LANDSAT_7";42,68502;44,085892;223;66;2007;2007-06-17;"NDVI TEI 567027-C"
6;4,361;2,829;3,319;0,690381397143092;"LANDSAT_7";43,885811;44,373318;223;66;2007;2007-07-03;"NDVI TEI 567027-C"
0;4,715;2,958;3,672;0,630103151355637;"LANDSAT_7";56,548351;37,880718;223;66;2007;2007-08-20;"NDVI TEI 567027-C"
0;4,508;2,755;3,568;0,57289466069064;"LANDSAT_7";63,958275;34,118095;223;66;2007;2007-09-05;"NDVI TEI 567027-C"
6;4,069;2,874;2,881;0,548122102479528;"LANDSAT_7";73,554329;30,502869;223;66;2007;2007-09-21;"NDVI TEI 567027-C"
7;4,563;3,025;3,416;0,793160790463322;"LANDSAT_7";45,792492;40,954739;223;66;2008;2008-05-18;"NDVI TEI 567027-C"
2;5,023;3,659;3,441;0,782884070122599;"LANDSAT_7";43,247643;43,077507;223;66;2008;2008-06-03;"NDVI TEI 567027-C"
0;4,403;2,961;3,258;0,741190200017586;"LANDSAT_7";42,911846;44,332878;223;66;2008;2008-06-19;"NDVI TEI 567027-C"
0;4,191;2,559;3,319;0,745040438990665;"LANDSAT_7";44,416958;44,416378;223;66;2008;2008-07-05;"NDVI TEI 567027-C"
0;4,236;2,958;3,032;0,713730710477024;"LANDSAT_7";47,464241;43,202496;223;66;2008;2008-07-21;"NDVI TEI 567027-C"
1;4,395;2,658;3,5;0,657579922340208;"LANDSAT_7";51,929836;40,779198;223;66;2008;2008-08-06;"NDVI TEI 567027-C"
5;4,678;3,157;3,452;0,608290686424705;"LANDSAT_7";57,8773;37,441021;223;66;2008;2008-08-22;"NDVI TEI 567027-C"
12;4,289;2,589;3,42;0,5957272550002;"LANDSAT_7";65,638893;33,682655;223;66;2008;2008-09-07;"NDVI TEI 567027-C"
0;5,335;3,674;3,868;0,670307775520826;"LANDSAT_7";87,632919;27,7682;223;66;2008;2008-10-09;"NDVI TEI 567027-C"
11;4,662;3,486;3,095;0,572300595098938;"LANDSAT_7";100,288162;26,894135;223;66;2008;2008-10-25;"NDVI TEI 567027-C"
6;4,559;3,355;3,087;0,81895450313528;"LANDSAT_7";115,607269;34,165951;223;66;2009;2009-01-13;"NDVI TEI 567027-C"
0;4,588;3,046;3,431;0,775599838396816;"LANDSAT_7";42,829884;44,238991;223;66;2009;2009-06-22;"NDVI TEI 567027-C"
0;4,658;3,162;3,42;0,747483463153984;"LANDSAT_7";44,589325;44,082924;223;66;2009;2009-07-08;"NDVI TEI 567027-C"
4;4,347;3,09;3,057;0,686740961532916;"LANDSAT_7";52,525692;39,983852;223;66;2009;2009-08-09;"NDVI TEI 567027-C"
13;5,132;3,309;3,923;0,816747540786018;"LANDSAT_7";114,826996;33,862198;223;66;2010;2010-01-16;"NDVI TEI 567027-C"
8;4,492;3,021;3,324;0,712128904526661;"LANDSAT_7";55,144634;36,278625;223;66;2010;2010-04-22;"NDVI TEI 567027-C"
1;4,541;2,951;3,452;0,776298640897135;"LANDSAT_7";48,229237;38,789997;223;66;2010;2010-05-08;"NDVI TEI 567027-C"
14;4,846;3,047;3,768;0,454253478007418;"LANDSAT_7";42,254509;43,116371;223;66;2010;2010-06-09;"NDVI TEI 567027-C"
0;4,39;3,277;2,921;0,462051850536353;"LANDSAT_7";42,577538;43,975349;223;66;2010;2010-06-25;"NDVI TEI 567027-C"
9;4,179;2,884;3,025;0,461549178190519;"LANDSAT_7";44,612045;43,576611;223;66;2010;2010-07-11;"NDVI TEI 567027-C"
0;4,111;2,761;3,046;0,43632003651819;"LANDSAT_7";48,120037;41,87516;223;66;2010;2010-07-27;"NDVI TEI 567027-C"
0;4,221;2,882;3,084;0,413152385929042;"LANDSAT_7";53,036175;39,026993;223;66;2010;2010-08-12;"NDVI TEI 567027-C"
0;4,185;2,641;3,246;0,257002554459589;"LANDSAT_7";59,537251;35,394882;223;66;2010;2010-08-28;"NDVI TEI 567027-C"
0;4,664;3,362;3,233;0,237594883536856;"LANDSAT_7";68,070908;31,554276;223;66;2010;2010-09-13;"NDVI TEI 567027-C"
14;4,388;2,823;3,36;0,325447457559286;"LANDSAT_7";91,860489;26,226273;223;66;2010;2010-10-15;"NDVI TEI 567027-C"
4;4,434;3,123;3,147;0,692397907468568;"LANDSAT_7";41,845764;43,116177;223;66;2011;2011-06-12;"NDVI TEI 567027-C"
0;4,473;3,126;3,2;0,661313996607038;"LANDSAT_7";42,504272;43,770351;223;66;2011;2011-06-28;"NDVI TEI 567027-C"
0;4,055;2,87;2,865;0,590688097419651;"LANDSAT_7";48,585396;41,224876;223;66;2011;2011-07-30;"NDVI TEI 567027-C"
